DATE	DEPENDENT VARIABLE	FIRST	SECOND	THIRD	FOURTH
2009-11	25	2.25	2.15	2.14	1.76
2009-12	22	1.92	1.72	1.62	1.53
2010-01	23	2.01	2.05	2.29	2.63
2010-02	29	2.22	2.21	2.16	1.86
2010-03	53	2.76	2.68	2.63	2.63
2010-04	65	2.80	2.63	2.54	2.50
2010-05	63	2.71	2.66	2.78	2.99
2010-06	57	2.62	2.63	2.69	2.63
2010-07	53	2.57	2.60	2.61	2.57
2010-08	52	2.57	2.59	2.58	2.56
2010-09	48	2.50	2.50	2.49	2.48
2010-10	46	2.48	2.50	2.51	2.54
2010-11	42	2.40	2.41	2.40	2.37
2010-12	41	2.40	2.42	2.43	2.45
2011-01	45	2.49	2.50	2.48	2.45
2011-02	100	3.27	3.24	3.21	3.20
2011-03	65	2.65	2.46	2.29	2.16
2011-04	42	2.31	2.41	2.70	3.15
2011-05	46	2.51	2.62	2.63	2.36
2011-06	50	2.57	2.55	2.41	2.26
2011-07	40	2.32	2.30	2.31	2.44
2011-08	39	2.36	2.42	2.50	2.58
2011-09	29	2.07	2.08	2.02	1.89
2011-10	29	2.15	2.24	2.31	2.44
2011-11	69	3.02	3.02	2.94	2.77
2011-12	48	2.43	2.20	1.97	1.83
2012-01	33	2.14	2.23	2.55	3.10
2012-02	29	2.12	2.22	2.23	1.92
2012-03	34	2.31	2.35	2.29	2.21
2012-04	48	2.61	2.56	2.48	2.46
2012-05	39	2.31	2.22	2.17	2.21
2012-06	45	2.51	2.56	2.71	2.91
2012-07	35	2.22	2.18	2.09	1.84
2012-08	31	2.17	2.23	2.34	2.54
2012-09	28	2.10	2.13	2.10	1.96
2012-10	36	2.38	2.41	2.41	2.43
2012-11	41	2.44	2.36	2.26	2.16
2012-12	43	2.45	2.41	2.45	2.59
2013-01	53	2.65	2.63	2.66	2.64
2013-02	36	2.20	2.15	2.11	2.04
2013-03	37	2.33	2.44	2.59	2.79
2013-04	31	2.15	2.14	2.03	1.77
2013-05	30	2.17	2.22	2.28	2.44
2013-06	31	2.21	2.22	2.18	2.08
2013-07	35	2.32	2.31	2.29	2.31
2013-08	33	2.23	2.19	2.17	2.16
2013-09	24	1.93	1.94	1.99	2.07
2013-10	23	1.98	2.07	2.15	2.18
2013-11	31	2.29	2.30	2.22	2.06
2013-12	39	2.43	2.34	2.23	2.21
2014-01	70	2.95	2.89	2.91	3.04
2014-02	44	2.34	2.19	2.11	2.00
2014-03	30	2.07	2.19	2.45	2.80
2014-04	22	1.87	1.97	1.96	1.69
2014-05	20	1.87	1.96	1.95	1.95
2014-06	21	1.95	1.98	1.91	1.86
2014-07	19	1.83	1.81	1.77	1.78
2014-08	18	1.81	1.84	1.89	1.99
2014-09	13	1.50	1.52	1.51	1.44
2014-10	11	1.46	1.58	1.68	1.79
2014-11	12	1.61	1.68	1.63	1.47
2014-12	14	1.73	1.69	1.59	1.54
2015-01	19	1.97	1.91	1.89	1.97
2015-02	13	1.49	1.38	1.33	1.30
2015-03	23	2.19	2.33	2.58	2.88
2015-04	22	1.95	1.75	1.41	0.82
2015-05	14	1.51	1.52	1.74	2.29
2015-06	12	1.51	1.67	1.82	1.75
2015-07	14	1.73	1.79	1.69	1.45
2015-08	17	1.86	1.80	1.68	1.66
2015-09	19	1.90	1.83	1.82	1.93
2015-10	38	2.56	2.52	2.55	2.59
2015-11	49	2.60	2.39	2.22	2.01
2015-12	41	2.35	2.29	2.43	2.75
2016-01	34	2.21	2.26	2.38	2.35
2016-02	29	2.11	2.16	2.16	2.05
2016-03	28	2.12	2.16	2.16	2.15
2016-04	25	2.02	2.03	1.99	1.96
2016-05	24	2.01	2.04	2.07	2.13
2016-06	21	1.89	1.90	1.88	1.83
2016-07	19	1.83	1.87	1.90	1.96
2016-08	24	2.10	2.13	2.12	2.08
2016-09	15	1.55	1.48	1.37	1.27
2016-10	12	1.49	1.65	1.89	2.23
2016-11	12	1.57	1.66	1.59	1.28
2016-12	14	1.73	1.73	1.64	1.63
2017-01	12	1.51	1.45	1.39	1.42
2017-02	12	1.57	1.63	1.76	1.94
2017-03	12	1.57	1.57	1.51	1.33
2017-04	13	1.65	1.65	1.65	1.71
2017-05	18	1.95	1.92	1.89	1.85
2017-06	18	1.83	1.71	1.62	1.57
2017-07	18	1.83	1.83	1.95	2.16
2017-08	13	1.50	1.50	1.50	1.38
2017-09	9	1.26	1.37	1.49	1.61
2017-10	14	1.85	2.01	2.04	1.96
2017-11	20	2.03	1.84	1.50	1.13
2017-12	12	1.39	1.26	1.32	1.71
2018-01	10	1.39	1.58	1.89	2.15
2018-02	10	1.47	1.54	1.43	1.01
2018-03	11	1.56	1.56	1.49	1.52
2018-04	10	1.43	1.39	1.35	1.38
2018-05	8	1.25	1.29	1.37	1.49
2018-06	9	1.47	1.57	1.63	1.61
2018-07	21	2.26	2.20	2.05	1.83
2018-08	10	1.19	0.86	0.59	0.48
2018-09	10	1.47	1.75	2.35	3.23
2018-10	9	1.36	1.36	1.08	0.20
2018-11	8	1.29	1.34	1.39	1.71
2018-12	7	1.21	1.27	1.28	1.24
2019-01	6	1.13	1.19	1.20	1.21
2019-02	7	1.36	1.45	1.46	1.47
2019-03	7	1.28	1.20	1.03	0.85
2019-04	7	1.28	1.28	1.36	1.61
2019-05	6	1.13	1.13	1.13	1.04
2019-06	5	1.03	1.11	1.19	1.27
